0,0,0,141.421,141.421
0.01,1.41421,1.41421,141.421,141.323
0.02,2.82843,2.82745,-141.323,-141.323
0.03,1.41519,1.41421,141.128,141.03
0.04,2.82647,2.82451,-140.444,-140.444
0.05,1.42203,1.42007,138.502,138.405
0.06,2.80706,2.80412,-132.689,-132.694
0.07,1.48016,1.47718,116.307,116.213
0.08,2.64324,2.63931,-74.9213,-74.9588
0.09,1.89402,1.88972,4.48122,4.38546
0.1,1.93884,1.93358,4.20024,4.01249
0.11,1.98084,1.9737,3.95626,3.68141
0.12,2.0204,2.01052,3.74246,3.38446
0.13,2.05783,2.04436,3.55362,3.11569
0.14,2.09336,2.07552,3.38567,2.87044
0.15,2.12722,2.10422,3.23539,2.64503
0.16,2.15957,2.13067,3.10019,2.43649
0.17,2.19057,2.15504,2.97794,2.24242
0.18,2.22035,2.17746,2.86693,2.06083
0.19,2.24902,2.19807,2.76571,1.89006
0.2,2.27668,2.21697,2.67306,1.72875
0.21,2.30341,2.23426,2.58797,1.57572
0.22,2.32929,2.25002,2.50955,1.42997
0.23,2.35439,2.26432,2.43707,1.29067
0.24,2.37876,2.27722,2.36986,1.15708
0.25,2.40246,2.28879,2.30736,1.02856
0.26,2.42553,2.29908,2.24907,0.904579
0.27,2.44802,2.30812,2.19455,0.784651
0.28,2.46996,2.31597,2.1434,0.668364
0.29,2.4914,2.32265,2.09528,0.555358
0.3,2.51235,2.32821,2.04986,0.44532
0.31,2.53285,2.33266,2.00686,0.337978
0.32,2.55292,2.33604,1.96602,0.2331
0.33,2.57258,2.33837,1.9271,0.130485
0.34,2.59185,2.33968,1.88988,0.0299647
0.35,2.61075,2.33998,1.85415,-0.0686017
0.36,2.62929,2.33929,1.81975,-0.165329
0.37,2.64749,2.33764,1.7865,-0.260308
0.38,2.66535,2.33503,1.75425,-0.353608
0.39,2.6829,2.3315,1.72286,-0.44528
0.4,2.70012,2.32705,1.6922,-0.535357
0.41,2.71705,2.32169,1.66216,-0.623855
0.42,2.73367,2.31545,1.63265,-0.710779
0.43,2.74999,2.30835,1.60358,-0.796123
0.44,2.76603,2.30038,1.57487,-0.879869
0.45,2.78178,2.29159,1.54646,-0.961997
0.46,2.79724,2.28197,1.5183,-1.04248
0.47,2.81243,2.27154,1.49033,-1.12128
0.48,2.82733,2.26033,1.46254,-1.19836
0.49,2.84195,2.24834,1.43488,-1.27371
0.5,2.8563,2.23561,1.40735,-1.34727
0.51,2.87038,2.22213,1.37994,-1.41902
0.52,2.88418,2.20794,1.35262,-1.48893
0.53,2.8977,2.19305,1.32541,-1.55698
0.54,2.91096,2.17749,1.29831,-1.62314
0.55,2.92394,2.16125,1.27133,-1.68741
0.56,2.93665,2.14438,1.24447,-1.74976
0.57,2.9491,2.12688,1.21775,-1.81019
0.58,2.96128,2.10878,1.19118,-1.86869
0.59,2.97319,2.09009,1.16478,-1.92528
0.6,2.98484,2.07084,1.13857,-1.97996
0.61,2.99622,2.05104,1.11257,-2.03274
0.62,3.00735,2.03071,1.08678,-2.08363
0.63,3.01821,2.00988,1.06124,-2.13267
0.64,3.02883,1.98855,1.03596,-2.17987
0.65,3.03919,1.96675,1.01096,-2.22525
0.66,3.0493,1.9445,0.986252,-2.26887
0.67,3.05916,1.92181,0.961853,-2.31073
0.68,3.06878,1.8987,0.937778,-2.3509
0.69,3.07815,1.87519,0.914043,-2.3894
0.7,3.0873,1.8513,0.890659,-2.42627
0.71,3.0962,1.82704,0.867639,-2.46156
0.72,3.10488,1.80242,0.844994,-2.49531
0.73,3.11333,1.77747,0.822733,-2.52758
0.74,3.12156,1.75219,0.800864,-2.55839
0.75,3.12956,1.72661,0.779394,-2.5878
0.76,3.13736,1.70073,0.75833,-2.61587
0.77,3.14494,1.67457,0.737676,-2.64262
0.78,3.15232,1.64815,0.717437,-2.66812
0.79,3.15949,1.62147,0.697615,-2.6924
0.8,3.16647,1.59454,0.678212,-2.71552
0.81,3.17325,1.56739,0.65923,-2.73751
0.82,3.17984,1.54001,0.640667,-2.75843
0.83,3.18625,1.51243,0.622524,-2.77831
0.84,3.19248,1.48464,0.6048,-2.79721
0.85,3.19852,1.45667,0.587491,-2.81516
0.86,3.2044,1.42852,0.570596,-2.8322
0.87,3.2101,1.4002,0.554111,-2.84837
0.88,3.21565,1.37171,0.538032,-2.86372
0.89,3.22103,1.34308,0.522355,-2.87828
0.9,3.22625,1.31429,0.507074,-2.89208
0.91,3.23132,1.28537,0.492186,-2.90516
0.92,3.23624,1.25632,0.477683,-2.91756
0.93,3.24102,1.22715,0.463561,-2.9293
0.94,3.24565,1.19785,0.449813,-2.94043
0.95,3.25015,1.16845,0.436433,-2.95096
0.96,3.25452,1.13894,0.423414,-2.96093
0.97,3.25875,1.10933,0.410749,-2.97037
0.98,3.26286,1.07963,0.398432,-2.9793
0.99,3.26684,1.04983,0.386456,-2.98775
1,3.27071,1.01996,0.374813,-2.99574
1.01,3.27446,0.989998,0.363498,-3.00329
1.02,3.27809,0.959965,0.352501,-3.01044
1.03,3.28162,0.929861,0.341817,-3.01719
1.04,3.28503,0.899689,0.331437,-3.02357
1.05,3.28835,0.869453,0.321356,-3.02961
1.06,3.29156,0.839157,0.311566,-3.03531
1.07,3.29468,0.808804,0.302059,-3.04069
1.08,3.2977,0.778397,0.292829,-3.04578
1.09,3.30063,0.74794,0.283869,-3.05058
1.1,3.30346,0.717434,0.275172,-3.05512
1.11,3.30622,0.686883,0.266731,-3.0594
1.12,3.30888,0.656289,0.25854,-3.06345
1.13,3.31147,0.625654,0.250591,-3.06727
1.14,3.31397,0.594981,0.242879,-3.07087
1.15,3.3164,0.564273,0.235398,-3.07428
1.16,3.31876,0.53353,0.22814,-3.07749
1.17,3.32104,0.502755,0.221099,-3.08052
1.18,3.32325,0.47195,0.214271,-3.08338
1.19,3.32539,0.441116,0.207648,-3.08608
1.2,3.32747,0.410255,0.201226,-3.08862
1.21,3.32948,0.379369,0.194997,-3.09103
1.22,3.33143,0.348459,0.188958,-3.09329
1.23,3.33332,0.317526,0.183102,-3.09543
1.24,3.33515,0.286571,0.177424,-3.09744
1.25,3.33693,0.255597,0.17192,-3.09935
1.26,3.33865,0.224604,0.166583,-3.10114
1.27,3.34031,0.193592,0.16141,-3.10283
1.28,3.34193,0.162564,0.156395,-3.10442
1.29,3.34349,0.13152,0.151533,-3.10593
1.3,3.345,0.10046,0.146821,-3.10734
1.31,3.34647,0.069387,0.142254,-3.10868
1.32,3.3479,0.0383002,0.137827,-3.10994
1.33,3.34927,0.00720078,0.133536,-3.11113
